Author,Student,Title,Poster Number
Alexis Harper,Graduate,Quantifying the Role of Atmospheric Oxidants in Mercury Oxidation Using an Environmental Chamber,1
Dan jaffe,No,Ozone in the Salt Lake City Metropolitan Region,2
Demetrios Pagonis,No,Spatial Variability of Ozone Formation Chemistry in Salt Lake City,3
Elizabeth Lowe,Undergraduate,Dust Attribution in the Great Salt Lake Valley,4
Gerardo Carrillo-Cardenas,Graduate,Utah’s SNOWSCAPE 2026 Aerosol Measurements,5
Michael Davies,Undergraduate,"Fuzzy, Genetic, Deep, Cosmetic: Machine Intelligence in Many Air Quality Applications",6
Ruby W. Burgess,Graduate,Informing O3 Production Regimes Using Long-term MAX-DOAS Measurements in Salt Lake City.,7
Vanessa Sun,Graduate,Investigating Chemical Mechanism Influences on Ozone Production in the Northern Wasatch Front,8
Zachary Giauque,Undergraduate,Quantifying VOC Interference in Atmospheric Hg? Oxidation Experiments Using Thermal Desorption GC–MS,9
Emma Reeves,Undergraduate,Greenhouse Gas Analysis of the Little Cottonwood Canyon Transportation Scenarios,10
Kirsten Steele,Graduate,A Fuel-Based Emissions Inventory for Heavy Duty Vehicles in Utah,11
Noah Yohn,Undergraduate,Analyzing Trends in Snowpack Composition Within Park City Resort,12
Saeed Alkaabi,Undergraduate,Impact of Holiday Fireworks on PM2.5 Concentrations in Utah,13
Sarah Chan,Graduate,Characterizing Western U.S. Dust Movement by Mass Flux and Particle Size,14
Tejas Shah,No,Improving MEGAN Soil NOx Estimates for the Wasatch Front by Updating BDSNP and Adding HONO,15
Alexander Mass,Undergraduate,Wildfire Infiltration into Salt Lake Valley Childcare Centers,16
Jimmy Jackson Dimpor,Graduate,"Characterizing Indoor PM2.5 and PM10 in Utah K–12 Schools: Spatial, Temporal, and Occupancy-Driven Patterns",17
Morgan Christensen,Graduate,Applying Machine Learning and Raman Spectroscopy to Human Lung Cells Exposed to Diesel Exhaust to Understand Induced Oxidative Stress,18
Randy Martin,No,Air Quality: Science for Solutions Participants’ 2025 Random Survey Results,19
Rebekah Paine,Undergraduate,The Effect of Personalized Monitoring Results on Home Occupants’ Perceptions of Air Pollution Health Risk,20
Sofia Guerrero,Graduate,Spatial and Temporal Patterns of Indoor Radon in Schools and Their Relationship with Ventilation and Meteorological Indicators,21
Tanvir Ahmed,Graduate,"Size, Cytopathic Effects, and Prevalence of Influenza, SARS-CoV-2, and RSV in Healthcare Settings",22
Carson Utley,Undergraduate,Climatology of Central Utah’s Sevier Valley,23
Derek V. Mallia,No,Forecasting Pyrocumulonimbus Events for NASA’s Upcoming 2026/2027 INSPYRE Field Campaign,24
Haley Brenkmann,Undergraduate,Temperature Inversions and Avalanche Conditions in the Central Wasatch,25
Juan Rogel,Undergraduate,"Meteorological Influences in Rising Summer Surface Ozone in Salt Lake City, Utah",26
Luke Robbins,Undergraduate,Western U.S. Wildfire Smoke Transport Impacts on PM2.5 Concentrations in Northern Utah,27
Walter Hogle,Undergraduate,R-4 Draft Abstract,28
Cambria White,Graduate,Exploring Spatiotemporal Trends in Wildfire Activity and the Drivers of Increasing Plume Rise Heights Across California,29
Derek Mallia,No,A User-Friendly Tool for Estimating Great Salt Lake Dust Exposure for Communities Across Northern Utah,30
Ilinca Mocuta,Undergraduate,Developing a Machine Learning Model for Wilfitr Groeth Prediction,31
John R. Lawson,No,Ffion: an AI air-quality forecaster,32
Kyler Pak,Undergraduate,Evaluating Numerical Wildfire Smoke Forecasts Across Utah,33
Kylie Brown,Undergraduate,High-Resolution Modeling of Predicted Wind Velocities for Utah Dust Emissions,34
Myah Derderian,Undergraduate,Identifying inaccurate soil classifications for urban dust sources through Google Earth and NLCD,35
Sishir Dahal,Graduate,Developing Novel Approaches to Estimating Wildfire Smoke PM2.5 Exposure in the Western U.S.,36
Srabani Karmakar,No,Evolving Wildland fire Smoke Impacts in Utah: A Long-term Analysis of PM?.? Trends and Smoke Attribution,37
Sukrut Shishupal,Graduate,A Reusable U.S. Air Quality Shapelet Library for High Temporal Resolution Exposure Pattern Discovery,38
Ty Hosler,Graduate,High-Resolution Dust Emission Modeling over Northwestern Utah Using WRF–WindNinja Downscaling,39
Aaron Hanson,Undergraduate,Ambient Particulate Matter Levels on High School Athletic Fields in Utah: Implications from a One-Year Monitoring Study,40
Aaron Watts,Undergraduate,"Richfield, UT Air Quality Measurements 2025",41
Allyn Allen,Undergraduate,Design and Deployment of Arduino-Based Xpod Sensor Networks for Multi-Pollutant Characterization at Navajo Technical University,42
Amber Allen,Graduate,Evaluating Low-cost Sensors for Identifying High-emitting Heavy-Duty Diesel Vehicles,43
Austin Pero,Graduate,Neighborhood-Scale Characterization of Particulate Matter Exposure in the Salt Lake Valley using A Network of Citizen-Hosted Low-Cost PM Sensors,44
David Barlow,Undergraduate,Local Air Quality Impacts of the Monroe Canyon Fire 2025,45
Grey Bailey,Undergraduate,Ephraim Utah Air Quality Measurements 2025,46
Henry Carter,Undergraduate,The Effects of Air Pollution on Soil Quality in Salt Lake City,47
Jaden Olvera,Undergraduate,Cavity-Enhanced Ozone Instrument in the Far UV,48
Jaden Olvera,Undergraduate,Measurements of Solar Flux Using a Custom Spectral Radiometer,49
James Boyack,Undergraduate,Snowfall Effects on PM2.5 and PM10 in the Salt Lake Valley,50
James Mineau,Graduate,Quantifying Methane in the Salt Lake Valley: Inversion Sensitivity and Error Characterization,51
Jessica Mulder,Undergraduate,Rural vs. Urban Nitrogen Dioxide Concentrations in Utah,52
Jordyn Bylsma,Undergraduate,Ozone Variations Along the Wasatch Front and Cache Valley,53
Junhan Chen,Graduate,Targeted Spatial and Seasonal Assessment of PFAS in a Snowmelt-Dominated River–Reservoir System in Utah,54
Kamaljeet Kaur,No,Detecting Dust-Dominated Periods and Correcting PM2.5 Using Only Plantower PMS Sensor Data,55
Mekenzie Hutchinson,Undergraduate,COVID Alterations of Firework Pollution,56
Pavan Motagi,No,Community-driven Sensor Metadata Approaches for Exposure Health Informatics,57
Randon Sandall,Undergraduate,"Vertically Resolved Temperature and Particulate Measurements in Richfield, UT",58
Seth Lyman,No,Harder than it looks: Developing methods for calibration of gas-phase formaldehyde,59
Spencer Larson,Graduate,Heavy-Duty Diesel Emissions Monitoring Using Low-Cost Sensors,60
Tristalee Mangin,Graduate,Understanding Alphasense OPC-N3 Sensor Aging and PM10 Measurement Reliability,61
Tristan Stevens,Undergraduate,PM2.5 Correlation with the Moisture in the Air and Ground,62
Yiqing (Anne) Meng,Undergraduate,Particulate Matter (PM2.5 and PM10) Concentrations in Communities near the Great Salt Lake During Summer 2024,63
Zachary Driskill,Graduate,"Modular, Low-Cost, On-Road Emissions Measurement System with ML Calibration",64
